id,code,label,meridian_prefix,Point_Group,corpo_x,corpo_y,corpo_z,corpo_side,expected_pairing,consistency_flag,reference_note
3hLBRUyWqQiqlFCBNL1I,HN1,Sishencong,HN,HN-paired,0.3495,71.769,-10.6864,Left,Mixed/Composite,OK,Sishencong (EX-HN1) is conventionally a 4-point set: 2 midline (anterior/posterior to GV20) + 2 paired (left/right). Only one entry exists in this DB; its geometric classification indicates which sub-point this represents.
3pfUDNtd7AZ0uo4ZkhKa,HT4,Lingdao,HT,HT,21.3819,2.5174,0.0731,Left,Paired,OK,
4HdFcbEgCFt2JWc9p6t7,LU9,Taiyuan,LU,LU,-27.3678,-5.5,-0.3,Right,Paired,OK,
4HjYMznaMfXOYHyNVvBC,SP5,Shangqiu,SP,SP,-4.8472,-88.025,0.2469,Right,Paired,OK,
4bwJMuXodZwni7UD4h9C,KI10,Yingu,KI,KI,-7.0172,-49.5456,-4.875,Right,Paired,OK,
4s79CQE4o7ZyqO5TFpXY,LI19,Kouheliao,LI,LI,0.9322,62.4,4.9,Left,Paired,OK,
4wtQwAZug7TFFx12W6c6,ST35,Dubi,ST,ST,-12.4678,-47.18,1.5,Right,Paired,OK,
5Hi6FqwvN8moKOrs1R3l,SJ7,Huizong,SJ,SJ,23.5705,3.9679,-5.8561,Left,Paired,OK,
5KxpayQksbMf26dfESP2,ST21,Liangmen,ST,ST,-3.1678,19.5945,6.7,Right,Paired,OK,
5OqxqeVwGLXjNu4pY6p0,HN14,Anmian,HN,HN-paired,-5.8636,62.1834,-4.4084,Right,Paired,OK,"Anmian (EX-HN, per label), confirmed bilateral (near GB20/TB17)."
5Pl8pO7mj1HNqEZuljvg,SI17,Tianrong,SI,SI,-5.4506,58.1351,-5.8545,Right,Paired,OK,
5WMwoDuwRUeYf7ylKgcG,LI1,Shangyang,LI,LI,29.2322,-20,6.2,Left,Paired,OK,
6TxDv0y9yTHBhxs4udgn,SJ9,Sidu,SJ,SJ,25.8912,11.3299,-7.4727,Left,Paired,OK,
6d7BB13wiLmQjQ8XyP2B,SJ17,Yifeng,SJ,SJ,4.2538,59.0546,-7.3036,Left,Paired,OK,
6iSlD74nGdDKEg2jrUmu,SP13,Fushe,SP,SP,-6.6298,1.4726,8.6808,Right,Paired,OK,
6lOYV8CA6mukE62OHRcb,LU11,Shaoshang,LU,LU,-30.5678,-13.2,6,Right,Paired,OK,
6mlTg7LfjzNYhRA5gpi3,CV18,Yutang,CV,CV,0.05,38.6,3.6,Midline,Midline,OK,
6ule09DUBvQA1LW0HDlM,SI3,Houxi,SI,SI,-22.9183,-11.7278,1.6833,Right,Paired,OK,
724RbESpQqhN6fvqjITU,BL39,Weiyang,BL,BL,-11.7681,-48.581,-4.7196,Right,Paired,OK,
75QHd7zHG88IXxaAyPPw,SP4,Gongsun,SP,SP,-5.1706,-90.5292,5.3865,Right,Paired,OK,
7GDqlLB56QxCgmkBwUah,SI1,Shaoze,SI,SI,-22.2635,-17.0218,5.8919,Right,Paired,OK,
7rZS0oio0LAFhZ1MaicE,ST30,Qichong,ST,ST,-3.1678,-7.88,4.6,Right,Paired,OK,
7vp5dwyiqrIj8qtJznjk,LI9,Shanglian,LI,LI,27.5322,12,-8.8,Left,Paired,OK,
8QQb42DBCPdWwaERvXUQ,SP3,Taibai,SP,SP,-5.0976,-90.5493,8.0285,Right,Paired,OK,
96nlFOUrUdLQKIHXV4oT,SI9,Jianzhen,SI,SI,-13.0182,36.9916,-15.7763,Right,Paired,OK,
9IqMT2VhSimhqqM4NZ2B,DU24/GV24,ShénTíng,DU,GV-Front,0,69.2517,7.3201,Midline,Midline,OK,"Dual-named (Du Mai / Governing Vessel are the same meridian, different romanization) - Shenting, midline."
9V7nJyOIbWM44rp2ZJhJ,LE6,Dannangxue,LE,LE,-15.3032,-57.0319,-4.6291,Right,Right-only (unilateral),OK,"Dannangxue (EX-LE6) is a diagnostic gallbladder point classically defined on the RIGHT leg only (gallbladder is a right-sided organ) - not bilateral, not midline."
9W2HFZwn072ci1SfVCV9,BL63,JinMen,BL,BL,-11.3844,-92.7651,-4.211,Right,Paired,OK,
9ZwVtP59XRlXEO3hcWf9,CV21,Xuanji,CV,CV,0.05,46.4,0.9,Midline,Midline,OK,
AC3MOYbo1LSmpN9qiSSZ,SI7,Zhizheng,SI,SI,-20.9413,5.6593,-5.1957,Right,Paired,OK,
AI3ECZIizgMt60QiA6xC,LI16,Jugu,LI,LI,18.1322,48.8,-6.5,Left,Paired,OK,
AWzB7YMJGyjjXnMQHR6m,CV19,Zigong,CV,CV,0.05,41.2,2.4,Midline,Midline,OK,
C5TSzVIACXuHSItLAWmq,CV12,Zhongwan,CV,CV,0.05,23.4,6.58,Midline,Midline,OK,
Cpp2ugs9Z3xHB88ICQzB,LI13,Shouwuli,LI,LI,26.4322,23.5,-9.3,Left,Paired,OK,
D4E3KfeXAAEKsDvefkaH,LU4,Xiabai,LU,LU,-23.5678,28.7,-5,Right,Paired,OK,
D4JYcQlghnhFhHpdWQgn,LI10,Shousanli,LI,LI,27.2322,14.3,-9.3,Left,Paired,OK,
DPuRXDKnys1Fw2DRRRfg,PC6,Neiguan,PC,PC,23.9146,1.047,1.8644,Left,Paired,OK,
E1WmOflyABzpIXO1jos0,ST45,Lidui,ST,ST,-9.9678,-93.18,11.3,Right,Paired,OK,
ERS3k2QU84J37l0HMctZ,ST42,Chongyang,ST,ST,-9.9678,-88.28,1,Right,Paired,OK,
ElNmXhk3gB26r4nnuG7b,ST23,Taiyi,ST,ST,-3.1678,13.4891,6.7,Right,Paired,OK,
F55DI8pGsrMt2uSkcHRu,SI18,Quanliao,SI,SI,6.0928,63.4439,2.6543,Left,Paired,OK,
Fa5RJH2Ew1g8owfUiMtZ,ST2,Sibai,ST,ST,-3.0236,66.4323,6.9694,Right,Paired,OK,
FbwK6Ok5HJ1ZfeGp8v41,BL17,Geshu,BL,BL,2.914,27.8507,-15.0943,Left,Paired,OK,
GBIyJA5hxd9WKKEXo9xX,ST15,Wuyi,ST,ST,-8.7678,42.3,2.4,Right,Paired,OK,
GMEtDUeWC15O8Aygo3Ci,KI3,Taixi,KI,KI,-6.4669,-85.9777,-5.1633,Right,Paired,OK,
GYPy996diYQQbPOaI2Cw,GV20,Baihui,GV,GV-Front,0,77.0618,-0.4226,Midline,Midline,OK,
GhFP7hd63X3OnPc24y0r,ST44,Neiting,ST,ST,-9.4678,-91.88,7.8,Right,Paired,OK,
HbZNy3Posb1JqnqEOOqQ,ST20,Chengman,ST,ST,-3.1678,22.6473,6.7,Right,Paired,OK,
IA1p0v5vjJqARweO65sw,LI14,Binao,LI,LI,24.7322,33.3,-7.6,Left,Paired,OK,
IDjfshctKUTcFzQKB3bv,BL66,ZuTongGu,BL,BL,-12.8605,-92.4137,2.0763,Right,Paired,OK,
IEFG25aJgA9ihaKBlupq,BL20,Pishu,BL,BL,-3.098,24.7677,-14.325,Right,Paired,OK,
J7b0Qm2ITdmTsA1BqjvQ,ST16,Yingchuang,ST,ST,-9.8678,38.9,4.2,Right,Paired,OK,
JJzXGYslPCkUcjewhDIS,ST14,Kufang,ST,ST,-7.6678,44.8,0.9,Right,Paired,OK,
JKTmjXWkndaiq9554Qhr,SP9,Yinlingquan,SP,SP,-5.1057,-46.8031,1.4646,Right,Paired,OK,
K41uoK1r0cXNlaMqxdeZ,SJ14,Jianliao,SJ,SJ,-19.6834,45.9556,-11.8456,Right,Paired,OK,
KtWrYgoCMfkwvqD3UfKw,SI16,Tianchuang,SI,SI,-8.2644,54.3371,-6.157,Right,Paired,OK,
MOQGmTEAs3Sy34pq1EmI,HT8,Shaofu,HT,HT,24.3776,-11.2408,9.1342,Left,Paired,OK,
MPPA4FKEKl0hwiR1kQlL,PC8,Laogong,PC,PC,-25.5498,-9.5032,8.6123,Right,Paired,OK,
MX1HEBnJnP6sEuDPKkO8,LU10,Yuji,LU,LU,-27.6678,-7.7,2.1,Right,Paired,OK,
Mmo0k0htpyN3EP7hcq57,SJ1/TW1,Guanchong,SJ,SJ,23.9708,-19.3597,7.329,Left,Paired,OK,
MnPIZaovxQhQnznbpA0t,HN5,Taiyang,HN,HN-paired,7.6543,67.4096,-2.6393,Left,Unknown,unrecognized code/prefix,"Prefix ""HN"" not recognized as a standard meridian abbreviation - needs manual review."
N2KpWSrXdC98uJbFnGme,ST25,Tianshu,ST,ST,3.8301,7.8664,10.1901,Left,Paired,OK,
NGVRuSkgI33IRDh3l9E4,HT7,Shenmen,HT,HT,23.0868,-6.1376,3.0263,Left,Paired,OK,
NNFQAi66WrvldwpXKCzf,CV2,Qugu,CV,CV,0.05,-6,6.4,Midline,Midline,OK,
NPKCVFjg4yoLNDTgsETL,GB34,YangLingQuan,GB,GB,-14.939,-50.5097,-4.1301,Right,Paired,OK,
OHEJtGOrQccP2FTFq1BQ,CV9,Shuifen,CV,CV,0.05,15.9,6.1,Midline,Midline,OK,
OMk8JdiAdYQ20QgQ2VpV,BL32,Ciliao,BL,BL,-1.5741,-0.0764,-12.5222,Right,Paired,OK,
OgzUbq38xPQQIyzm2O4R,CV20,Huagai,CV,CV,0.05,43.8,1.2,Midline,Midline,OK,
OhHzccyaKXIURPIfOM7M,SP11,Jimen,SP,SP,-6.9707,-29.1568,7.8378,Right,Paired,OK,
P2WHuBMz7OptBXuqCPyw,HT1,JiQuan,HT,HT,16.9232,34.9761,-13.1357,Left,Paired,OK,
P5vNi1pxMkKLogxKPeiB,GV16,Fengfu,GV,GV-Back,0.3592,61.0753,-9.2031,Left,Midline,expected Midline but geometrically Left,
P9Gch2VBgqao4MF6Q2AP,SJ16,Tianyou,SJ,SJ,5.7954,56.0373,-8.0696,Left,Paired,OK,
PUSGS73UVadrYGxuGlJO,LI11,Quchi,LI,LI,27.0322,17.6,-8.8,Left,Paired,OK,
PUtffd525pacGGwQsYn4,SJ4,Yangchi,SJ,SJ,-25.7178,-6.3365,4.1559,Right,Paired,OK,
Pvlq21KpgMK00WrUiUut,LI5,Yangxi,LI,LI,-27.8763,-5.4964,1.0394,Right,Paired,OK,
Q26bDR4r0btMgZ7hCdyQ,SI12,Bingfeng,SI,SI,-14.9495,45.6974,-13.6351,Right,Paired,OK,
Q7FRQfKzabmrVx2k9W3u,HN15,Bailao,HN,HN-paired,2.7978,58.0236,-8.7425,Left,Paired,OK,"Bailao (EX-HN15), confirmed bilateral (1 cun lateral to midline, each side)."
QWwxsZM4UXFYbK4OfFrr,ST19,Burong,ST,ST,-3.1678,25.7,6.6,Right,Paired,OK,
QfWStbTFum71eG5G6kRu,ST4,Dicang,ST,ST,-2.7678,61.1,4.1,Right,Paired,OK,
QgdYRrIUFvrHrR37au5M,ST43,Xiangu,ST,ST,-8.8678,-90.98,6.1,Right,Paired,OK,
Rw9Osvu7E3hDgKhdIBhO,HT5,Tongli,HT,HT,21.8726,1.8589,0.5283,Left,Paired,OK,
S9eq3iK5RwzKbWjs17Hr,SJ2,Yemen,SJ,SJ,-22.3905,-16.2172,6.8787,Right,Paired,OK,
SVrgHGBwGtGgxYSl3tZY,SP10,Xuehai,SP,SP,7.9585,-41.9289,-5.4055,Left,Paired,OK,
SYENO8q5iOFAPvwwNh1w,ST7,Xiaguan,ST,ST,-6.4678,64.2,-2.7,Right,Paired,OK,
SkB5hCdLTptgFFWxgAix,ST5,Daying,ST,ST,-3.3678,58.2,2.5,Right,Paired,OK,
TGsng5rqWwfEwNgusObr,SI14,Jianwaishu,SI,SI,-7.486,46.9952,-13.9078,Right,Paired,OK,
U7YbfJpxhW2hPPkbA1KR,LU3,Tianfu,LU,LU,-22.9678,32.4,-4.7,Right,Paired,OK,
UMt5mXk3VzoWoYh6yVev,BL18,GanShu,BL,BL,-5.3301,20.2298,-13.1055,Right,Paired,OK,
UlZMST5fujyE5bZRzX3S,ST26,Wailing,ST,ST,-3.1678,4.3309,6.9,Right,Paired,OK,
Un4RzTNCW7VoWTTbtVXo,CV13,Shangwan,CV,CV,0.05,25.9,6.6,Midline,Midline,OK,
Uq3GjBbV9suMvuyudoRx,ST31,Biguan,ST,ST,-12.4678,-11.28,4.1,Right,Paired,OK,
VBibDl28ZSolhkqDSqkl,BL67,ZhiYin,BL,BL,-13.5654,-92.6566,4.471,Right,Paired,OK,
VK0uqFvGJTSEnJHrrBYP,ST38,Tiaokou,ST,ST,-11.7678,-69.78,-1.6,Right,Paired,OK,
VvaJtqpuSzi6qjXKmuNe,ST1,Chengqi,ST,ST,-2.9678,66.7,3,Right,Paired,OK,
W1MIZ5V7lYemMPoqV4C9,SI10,Naoshu,SI,SI,-18.9671,40.1583,-13.7341,Right,Paired,OK,
WCNC6gQQNE6oCj7PnXII,ST13,Qihu,ST,ST,-7.0678,47.6,-1,Right,Paired,OK,
WmgPiUT0zvGKMPxzyhqa,CV15,Jiuwei,CV,CV,0.05,30.9,5.06,Midline,Midline,OK,
WtD2ybPGDjCm2bCFxvpH,GV4/DU4,Mingmen,GV,GV-Back,0,4.7609,-11.1175,Midline,Midline,OK,
Wxu9Wghkof6xfSnGpqyh,ST9,Renying,ST,ST,-2.9678,54.2,-2.3,Right,Paired,OK,
XGqlFtA1sRUim1uodvk7,CV3,Zhongji,CV,CV,0.05,-2.9,7.1,Midline,Midline,OK,
XIHYB9YWSgsbpcb4lVBX,SJ18,Qimai,SJ,SJ,5.877,63.5905,-5.3514,Left,Paired,OK,
Xgdan9jplW6ByJEkVf3D,BL10,TianZhu,BL,BL,-2.4266,59.9047,-9.4625,Right,Paired,OK,
XrsS7SNQfQ59ryEUPYjr,GB21,Jianjing,GB,GB,-11.1527,48.8129,-11.9054,Right,Paired,OK,
YFAT4AK7soVeiw9KNNKK,LIV13,Zhangmen,LIV,LIV,-14.0505,16.5234,-0.312,Right,Paired,OK,
YQxz69bYcdTdCc0aDaA6,CV14,Juque,CV,CV,0.05,28.4,5.95,Midline,Midline,OK,
YhkbEwklBtRcZZABimQo,CV11,Jianli,CV,CV,0.05,20.9,6.38,Midline,Midline,OK,
YlfDSqs2UfUlzqUeSozw,LU7,Lieque,LU,LU,-26.9678,-1.5,-1.5,Right,Paired,OK,
Yray5nMvWtEkYcgvwbVk,SP12,Chongmen,SP,SP,-5.5995,-0.9121,9.4762,Right,Paired,OK,
Ysv9GYw73dQjA3TFfvUs,PC4,Ximen,PC,PC,-20.9357,7.8638,-0.2204,Right,Paired,OK,
ZAZxoopVc0RhBj8QV1Lh,LI6,Pianli,LI,LI,28.0322,-0.3,-3.8,Left,Paired,OK,
ZtvQgW4LAuAeNWaKNfxH,ST11,Qishe,ST,ST,-2.9678,47.6,-1.2,Right,Paired,OK,
aRqw2RdMRS0OH1RqmCW6,ST22,Guanmen,ST,ST,-3.1678,16.5418,6.5,Right,Paired,OK,
b6MITKkIoHQXVIy0D0Hd,ST12,Quepen,ST,ST,-6.6678,48.6,-2.2,Right,Paired,OK,
bAapkkD8GXK11wtote5m,SI8,Xiaohai,SI,SI,-19.8377,14.6725,-7.6072,Right,Paired,OK,
bNOGd8hMg48RbCzPE5pL,ST6,Jiache,ST,ST,-5.9678,61.3,-2.6,Right,Paired,OK,
bVdDvZTzRSmJR4MaSw5f,HT9,Shaochong,HT,HT,22.1698,-17.8211,6.7085,Left,Paired,OK,
bWKQFEVbNEkkaKr35AX6,SI6,Yanglao,SI,SI,25.8608,-4.987,3.4663,Left,Paired,OK,
bdSUKXe3Kj3A7kbrHsHS,CV22,Tiantu,CV,CV,0.05,49,2.1,Midline,Midline,OK,
bt9t4QbKc8qhi02CYEW2,SI5,Yanggu,SI,SI,-23.78,-5.0175,-1.4072,Right,Paired,OK,
byZPF4IWFtX1qstHFTVb,LI15,Jianyu,LI,LI,20.4322,47.2,-5,Left,Paired,OK,
cjaI3Pgj1rPUJrIBKQjB,CV7,Yinjiao,CV,CV,0.05,9.5,7.2,Midline,Midline,OK,
cs3yVgEJMRv7nr37ABhu,TW19 (SJ19),LuXi,TW,SJ,-4.8229,65.1279,-8.2944,Right,Paired,OK,"Dual-named (Triple Warmer / San Jiao are the same meridian) - Luxi, paired."
cystUy237beUO13sRZ5H,ST39,Xiajuxu,ST,ST,-11.3678,-73.28,-1.9,Right,Paired,OK,
d1QBQVZg7gelZDZjqpI2,SI4,Wangu,SI,SI,21.6132,-11.3699,4.573,Left,Paired,OK,
dBxy4xgBCoPZDmchnjXs,ST28,Shuidao,ST,ST,-3.1678,-1.7745,6.3,Right,Paired,OK,
dPN5ExP0F3swJXhm42jQ,HT6,Yinxi,HT,HT,21.8823,-1.7545,0.3874,Left,Paired,OK,
eDHvZrD9of1zY96NdFDf,CV23,Lianquan,CV,CV,0.02,56,0.2,Midline,Midline,OK,
ectr0JFjnB5HxkABNxD7,CA1,Zigong,CA,CA,-6.9991,0.7717,-12.7884,Right,Paired,OK,"Zigong (EX-CA1), confirmed bilateral (3 cun lateral to CV3, each side)."
epI1zPxSmISkw1EQqFZZ,LI7,Wenliu,LI,LI,-27.9188,3.284,-2.7405,Right,Paired,OK,
feq5oCzW1N6awB7bwsYk,LU1,Zhongfu,LU,LU,-13.2678,46,-1.1,Right,Paired,OK,
ffjHh01OHejErJsKg1h7,BL33,Zhongliao,BL,BL,1.7231,-1.5645,-12.7154,Left,Paired,OK,
ftNlM9KKTRdU0MdTs0DX,ST29,Guilai,ST,ST,-3.1678,-4.8273,5.7,Right,Paired,OK,
gGuG6EM6iNqSI9Kn0YqZ,LI20,Yingxiang,LI,LI,1.9322,62.9,4.3,Left,Paired,OK,
gflwlOpnJhTcWvvmzZvn,SJ22,Erheliao,SJ,SJ,7.0082,67.3932,-1.3948,Left,Paired,OK,
gozlWyPjpfDC9JuwfNkP,LU6,Kong zui,LU,LU,-25.7678,7.5,-2.7,Right,Paired,OK,
gqcu8Lduod4zqNwrVOIu,SJ13,Naohui,SJ,SJ,20.3446,34.6334,-11.9561,Left,Paired,OK,
gy75d1N14PtRIs68zpeG,ST17,Ruzhong,ST,ST,-12.0678,33.2,5,Right,Paired,OK,
hFWzvCjZLqgeDR60BY9Z,CV4,Guanyuan,CV,CV,0.05,0.2,7.17,Midline,Midline,OK,
hNj2tMfEA53WwIqr2SiU,PC7,Daling,PC,PC,23.9105,-5.7407,3.3378,Left,Paired,OK,
hP2Ae1WWKabte40y2iL3,SI15,Jianzhongshu,SI,SI,-3.967,52.844,-10.8597,Right,Paired,OK,
hZ6VdhzYBO8s4E8m4Sav,GB13,Benshen,GB,GB,6.1179,68.1072,2.7117,Left,Paired,OK,
hhvmjBN52Dhl8d7TA7VP,LV3,Taichong,LV,LIV,-7.9016,-90.2555,9.0541,Right,Paired,OK,"Non-standard prefix ""LV"" (this DB uses ""LIV"" for other Liver points) for Liver meridian, point 3 (Taichong). Paired."
hjH8yVBazGhu7iVQbLvl,BL34,Xialiao,BL,BL,2.6728,-3.9201,-13.1354,Left,Paired,OK,
hsgYTg1dI9NUrwhxchvt,SJ12/TW12,Xiaoluo,SJ,SJ,-21.5397,28.4938,-11.7038,Right,Paired,OK,"Dual-named (San Jiao / Triple Warmer are the same meridian) - Xiaoluo, paired."
id3aFTETF9WkM5qxeh4D,ST24,Huaroumen,ST,ST,-3.1678,10.4364,7.1,Right,Paired,OK,
j7GqWTeS3AZJtQTpEjzW,SJ10, Tianjing,SJ,SJ,22.4869,16.112,-10.173,Left,Paired,OK,
jYOM1xeSgq5gDCH0Azea,LU5,Chize,LU,LU,-24.1678,15.7,-4.6,Right,Paired,OK,
jYQ6wsziVcPpFPCocYf4,BL64,Jing Gu,BL,BL,-11.7941,-91.3869,-1.9382,Right,Paired,OK,
jcNwQSWDWdWj8WhzBiFa,BL13,Feishu,BL,BL,-2.476,38.7195,-15.907,Right,Paired,OK,
k0euhToBeSrH7rfG6xmQ,PC1,Tianchi,PC,PC,14.9581,32.7201,1.5911,Left,Paired,OK,
kAMNlH17XGFxQlWYaCCa,SJ20,Jiaosun,SJ,SJ,6.4108,67.7814,-6.0125,Left,Paired,OK,
kFgiDqzFOiyDrQ24CwdA,LIV2,Xingjian,LIV,LIV,-7.9905,-91.963,11.6567,Right,Paired,OK,
kTgyh6lJOqkKFn8NRqKK,SP2,Dadu,SP,SP,13.9742,-92.9512,6.2708,Left,Paired,OK,
kz6x9GxzH4IlhzFr5BNX,CV10,Xiawan,CV,CV,0.05,18.4,6.38,Midline,Midline,OK,
lBO4UxoWZ1kMrjC45qym,CV16,Zhongting,CV,CV,0.05,33.4,4.9,Midline,Midline,OK,
lI4Sh6CjkYjDuNI7dxNI,BL65,ShuGu,BL,BL,-12.0981,-92.6171,-0.4966,Right,Paired,OK,
lMEDOYsEMl2MMuhpnsbU,ST37,Shangjuxu,ST,ST,-12.4678,-63.68,-0.7,Right,Paired,OK,
lNoXs5BF9pSV4uq6gnCG,SP20,ZhouRong,SP,SP,-19.1545,39.6689,1.8686,Right,Paired,OK,
lWtjP7vqTloEYtbc6Bdh,ST18,Rugen,ST,ST,-12.0678,30.2,2.2,Right,Paired,OK,
lhDFLC1yWmKf1Y48n28d,CV8,Shenque,CV,CV,0.05,12.7,6.1,Midline,Midline,OK,
lhnmkPp6fIoT9blFncLi,LI17,Tianding,LI,LI,5.5322,54.1,-4,Left,Paired,OK,
lnCRzBw42R980Io1QA21,BL2,Zanzhu,BL,BL,-0.4989,66.5132,8.2287,Right,Paired,OK,
loEblftbFMaSyzJ9KuFa,SJ3,Zhongzhu,SJ,SJ,23.9863,-11.1625,1.092,Left,Paired,OK,
mUUROH6wPWK7hinpOCFk,DU14,Dazhui,DU,GV-Back,-1.0446,53.6467,-10.5391,Right,Midline,expected Midline but geometrically Right,
mVR8FboYMpAtYFaSrBzz,ST10,Shuitu,ST,ST,-2.2678,51.4,-2.2,Right,Paired,OK,
mp7PwNXPrgJCwzM5MdkW,ST8,Touwei,ST,ST,-6.2678,71.9,-2.7,Right,Paired,OK,
muqdF6hJVINnrsalm8Tq,HT3,Shaohai,HT,HT,-18.9991,14.7332,-0.5724,Right,Paired,OK,
mxxu3TggmMpu3REpYhsx,BL60,Kunlun,BL,BL,8.1286,-90.57,-7.2099,Left,Paired,OK,
nVerAfC1kyvGaT83XWIx,CV17,Danzhong,CV,CV,0.05,36,4.7,Midline,Midline,OK,
oUNvpfOUVwMxDS1W7IQr,CV6,Qihai,CV,CV,0.05,6.4,7.3,Midline,Midline,OK,
ohdvJlZACLiK5Sf6aOEj,LI3,Sanjian,LI,LI,-27.9528,-13.1782,2.7628,Right,Paired,OK,
oi5m2eo1CBo2mKxe4u9Y,ST27,Daju,ST,ST,-3.1678,1.2782,6.6,Right,Paired,OK,
orqXI6z8jzgQPrG3rqgr,PC9,Zhongchong,PC,PC,-26.3286,-20.5722,10.5559,Right,Paired,OK,
ovnJMmIw4O44hyWQOZq5,SJ23,Sizhukong,SJ,SJ,7.5534,66.3387,-2.2831,Left,Paired,OK,
p9Te7xNq5JuksDzy0a1d,BL62,Shenmai,BL,BL,9.6813,-90.6093,-5.5986,Left,Paired,OK,
pZnFLA5D3GnJDvYQTxfX,ST36,Zusanli,ST,ST,-13.085,-56.2794,2.8478,Right,Paired,OK,
pbPJaMn2xbmiJ4T5jJ6g,SJ21,Ermen,SJ,SJ,7.6243,63.7612,-2.4665,Left,Paired,OK,
pkiidr0YQV9K9uDywjPP,BL57,Chengshan ,BL,BL,-8.7075,-73.6256,-7.0274,Right,Paired,OK,
q62KvyrQY0kL30DbU7iu,BL31,Shangliao,BL,BL,-3.5951,-1.0895,-13.2355,Right,Paired,OK,
qLq8fgg3QzdL8VysO2Ob,BL28,Pangguangshu,BL,BL,-2.8058,-4.0731,-13.1369,Right,Paired,OK,
qUc5ZgbhGqTIXNCYDPU5,SP7,Lougu,SP,SP,-4.4153,-69.2243,-1.6963,Right,Paired,OK,
r13oMMpJJTTCBranOMLF,PC3,Quze,PC,PC,23.2555,16.1944,-10.2029,Left,Paired,OK,
rHAxCnQY9Q8l6h7CiqWO,TW15,TianLiao,TW,SJ,12.1025,50.9535,-8.7569,Left,Paired,OK,
rcpsLk9Djt0x5ZtxhEIA,SI19,Tinggong,SI,SI,6.5653,65.2168,1.7041,Left,Paired,OK,
rjbYLTsWVp2lTUoDaXEC,SI11,Tianzong,SI,SI,9.3367,40.7858,6.7036,Left,Paired,OK,
rtxHqhnnbhce1pJ42X3S,KI7,Fuliu,KI,KI,-7.0844,-78.1011,-6.2083,Right,Paired,OK,
rvtxbVY5VBW5WDqMMuEK,LI8,Xialian,LI,LI,-27.9259,7.382,-0.9243,Right,Paired,OK,
sYV0DyAKHWdGWT1joXi8,BL52,ZhiShi ,BL,BL,-6.7282,13.749,-10.5656,Right,Paired,OK,
t1sdrDW1gi2f4g12URQd,GB20,FengChi,GB,GB,-3.2445,62.2916,-8.8242,Right,Paired,OK,
tEqepq4NrXDkNgteakAj,ST34,Liangqiu,ST,ST,-12.4678,-38.98,2.3,Right,Paired,OK,
tRct8GtJJgoEeOTkMh4f,LI12,Zhouliao,LI,LI,26.6322,20.5,-8.6,Left,Paired,OK,
tfT9x8wyTlsEPtsUvR7B,BL40,Weizhong,BL,BL,-9.4379,-49.8373,-6.4732,Right,Paired,OK,
tmzF1H6CnLSnFIDSmeu3,HT2,Qingling,HT,HT,17.4819,24.3846,-1.6688,Left,Paired,OK,
u0BptECHf9DEA3ngPNFv,SI13,Quyuan,SI,SI,8.8085,46.5961,3.1304,Left,Paired,OK,
ueUAz6QlIWHoHxLaJyWW,ST33,Yinshi,ST,ST,-12.4678,-36.28,2.9,Right,Paired,OK,
