id,code,label_en,label_he,description_en,description_he,longText_en,longText_he,x,y,z,xbot-x,xbot-y,xbot-z,corpo-x,corpo-y,corpo-z,sensitivity,imageURL,documentUrl_en,documentUrl_he,status
4s79CQE4o7ZyqO5TFpXY,LI19,Kouheliao,,In front of the ear. Employed for ear disorders like tinnitus and jaw pain.,לפני האוזן. משמשת להפרעות באוזן כמו טינטון וכאבי לסת.,,,,,,0.01581051611339973,1.696413859946697,0.04252483644293702,0.9322019931354847,62.400000000000276,4.899999999999998,,,,,active
4wtQwAZug7TFFx12W6c6,ST35,Dubi,,Major point for knee pain and swelling.,נקודה מרכזית לכאבי ברכיים ונפיחות.,,,,,,-0.13030046038284507,0.5015749939423184,0.0054519021080689095,-12.467798006864488,-47.18000000000065,1.4999999999999996,,,,,active
5KxpayQksbMf26dfESP2,ST21,Liangmen,,"Major point for digestive issues, nausea, and stomach pain.","נקודה מרכזית לבעיות עיכול, בחילה וכאבי בטן.",,,,,,-0.028895081172764847,1.2296715642002736,0.0621516840319848,-3.167798006864517,19.59454545454521,6.699999999999991,,,,,active
5OqxqeVwGLXjNu4pY6p0,HN14,,Anmian,,"נחשבת לאחת הנקודות החשובות והיעילות ביותר לטיפול בהפרעות שינה.
",,"פעולה:
השקטת ה-Shen: מרגיעה את הנפש ומשרה תחושת שלווה.
טיפול בנדודי שינה: ויסות מחזורי השינה והקלה על קשיי הירדמות.
הורדת אש ורוח מהראש: משקיטה את הכבד ומסייעת במצבים של עודף בראש.
איזון מערכת העצבים: עוזרת בהפחתת מתח נפשי וחרדה.

היבטים מערביים:
נדודי שינה (Insomnia), ורטיגו (סחרחורות), כאבי ראש, חרדה, פלפיטציות (דפיקות לב מואצות), הפרעות נפשיות, היסטריה וטינטון (צפצופים באוזניים).
",,,,0,0,0,0,0,0,High,https://drive.google.com/file/d/1dXHhDkpcRFn6xZPb86LuEUkYIX376Ct8/view?usp=drive_link,,https://firebasestorage.googleapis.com/v0/b/apitherapyv2.firebasestorage.app/o/Points%2Fnew%2F1774698350382_Anmian%20%E2%80%93%20HN%2014.pdf?alt=media&token=92e72f05-9bd3-4574-bdbf-cd22c6178947,active
5WMwoDuwRUeYf7ylKgcG,LI1,Shangyang,,"Jing-Well point. Treats breast disorders, insufficient lactation, and mastitis.","נקודת באר (Jing-Well). מטפלת בהפרעות בשד, מחסור בחלב אם ודלקת בשד (מסטיטיס).",,,,,,0.3243881754300979,0.7979403925369442,0.05669978192391599,29.232201993135632,-20.00000000000036,6.199999999999994,,,,,active
6lOYV8CA6mukE62OHRcb,LU11,Shaoshang,,Jing-Well point. Treats throat pain and clears heat.,נקודת באר (Jing-Well). מטפלת בכאבי גרון ומנקה חום.,,,,,,-0.3276593166949394,0.8720862612066809,0.05451902108068844,-30.56779800686468,-13.200000000000312,5.999999999999995,,,,,active
6mlTg7LfjzNYhRA5gpi3,CV18,Yutang,,Unbinds the chest and treats local pain and difficulty swallowing.,משחררת את החזה ומטפלת בכאב מקומי וקשיי בליעה.,,,,,,0.006191158301163957,1.4369033196026166,0.028349890961958044,0.05,38.6,3.6,,,,,active
7rZS0oio0LAFhZ1MaicE,ST30,Qichong,,Harmonizes the lower jiao and treats urogenital pain.,מהרמנת את המחמם התחתון ומטפלת בכאב אורוגניטלי.,,,,,,-0.028895081172764847,0.9300944996365341,0.03925369517809575,-3.167798006864517,-7.880000000000244,4.599999999999999,,,,,active
7vp5dwyiqrIj8qtJznjk,LI9,Shanglian,,Expels wind and treats shoulder and arm pain.,מסלקת רוח ומטפלת בכאבי כתף וזרוע.,,,,,,0.3058517082626637,1.1468621274533501,-0.10685728131814917,27.532201993135608,11.999999999999632,-8.799999999999986,,,,,active
9ZwVtP59XRlXEO3hcWf9,CV21,Xuanji,,"Treats cough, asthma, and difficulty swallowing.","מטפלת בשיעול, אסתמה וקשיי בליעה.",,,,,,0.006191158301163957,1.521952992488491,-0.02071722801066156,0.05,46.4,-0.9,,,,,active
AI3ECZIizgMt60QiA6xC,LI16,Jugu,,"Benefits the throat and ears, treats neck pain.","מיטיבה עם הגרון והאוזניים, מטפלת בכאבי צוואר.",,,,,,0.20335594863096795,1.5481221226072222,-0.08177853162103257,18.132201993135475,48.80000000000008,-6.499999999999995,,,,,active
AWzB7YMJGyjjXnMQHR6m,CV19,Zigong,,"Treats cough, asthma, and chest pain.","מטפלת בשיעול, אסתמה וכאבי חזה.",,,,,,0.006191158301163957,1.4652532105645748,0.015265325902592844,0.05,41.2,2.4,,,,,active
C5TSzVIACXuHSItLAWmq,CV12,Zhongwan,,"Major point for digestive issues (reflux, gas, nausea). Tonifies Stomach/Spleen. Front-Mu of Stomach.","נקודה מרכזית לבעיות עיכול (רפלקס, גזים, בחילה). מחזקת קיבה/טחול.",,"כאב בטן, כאב או נפיחות בבטן , צרבת, הקאות, שלשול, אוכל לא מעוכל, כיב-קיבה, נדודי שינה, אפילפסיה.
",,,,0.006191158301163957,1.271165495517324,0.060843227526048385,0.05,23.4,6.58,Medium,https://drive.google.com/file/d/1VkDV4uLmn3k-j_lsvItaY5AEn-UUyR3M/view?usp=drive_link,,https://firebasestorage.googleapis.com/v0/b/apitherapyv2.firebasestorage.app/o/Points%2FC5TSzVIACXuHSItLAWmq%2F1774705536188_CV%2012.pdf?alt=media&token=7b52dda0-bd34-4555-beb0-104acd6c6e9e,active
Cpp2ugs9Z3xHB88ICQzB,LI13,Shouwuli,,Treats stiffness and pain in the shoulder and upper back.,מטפלת בנוקשות וכאב בכתף ובגב העליון.,,,,,,0.293857523624912,1.2722558759389344,-0.112309183426218,26.432201993135592,23.499999999999723,-9.299999999999985,,,,,active
D4E3KfeXAAEKsDvefkaH,LU4,Xiabai,,"Xi-Cleft point. Effective for acute heart pain, blood stagnation, and emotional trauma.","נקודת הצטברות (Xi-Cleft). יעילה לכאבי לב אקוטיים, סטגנציה של דם וטראומה רגשית.",,,,,,-0.2513326871819745,1.3289556578628512,-0.06542282529682608,-23.56779800686458,28.699999999999797,-4.999999999999999,,,,,active
D4JYcQlghnhFhHpdWQgn,LI10,Shousanli,,Benefits the shoulder and treats local stiffness/pain.,"הקאות, שלשולים, כאבי בטן, שיתוק של גפיים עליונות.",,"אופי:
נקודת ים עליונה של ה־ST. (נקודת ים תחתונה – ST 37).
פעולה:
מחזקת Qi.
 מפזרת רוח.
 מרגיעה את הקיבה.
היבטים מערביים:
הקאות, שלשולים, כאבי בטן, שיתוק של גפיים עליונות.
",,,,0.3025805669978223,1.1719408771504667,-0.112309183426218,27.232201993135604,14.299999999999624,-9.299999999999985,Medium,https://drive.google.com/file/d/12gCMsdYBx6bRWXALJSoZa2RQW_RybCml/view?usp=drive_link,,https://firebasestorage.googleapis.com/v0/b/apitherapyv2.firebasestorage.app/o/Points%2FD4JYcQlghnhFhHpdWQgn%2F1774545262391_LI%2010.pdf?alt=media&token=28cd10ab-7d23-4e3e-8c03-6fd32560d1b5,active
DPuRXDKnys1Fw2DRRRfg,PC6,Neiguan,Neiguan,,"אנגינה פקטוריס (תעוקת חזה), כאבי בטן, אפילפסיה, בחילות בוקר בזמן הריון.",,"אופי הנקודה
נקודה זו משמשת כנקודת חיבור (Luo-connecting point) ומהווה את נקודת הפתיחה של ערוץ ה-Yin Wei Mo.
פעולות והשפעות טיפוליות
הנקודה נחשבת למשמעותית מאוד ברפואה הסינית ופעולותיה כוללות:
ויסות מערכת הלב: מסדירה את ה-Qi ואת הדם של הלב ופותחת את פתחי הלב.
איזון נפשי: מרגיעה את הלב ואת הנפש (Shen).
פתיחת ערוץ ה-Yin Wei: מאפשרת הפצת Qi לאזורי הקיבה, החזה והלב.
טיפול במערכת העיכול: מרגיעה את הקיבה ומדכאת Qi ""מורד"" (Rebellious Qi), מה שמסייע ביעילות רבה להפסקת בחילות והקאות.
איזון הכבד: מפזרת סטגנציה (תקיעות) של הכבד ומסדירה את שכבת ה-JUE YIN (הקשר שבין הפריקרד לכבד).
המחמם המשולש: מסדירה ומטהרת את המחמם המשולש (Triple Burner).
מדדים גופניים: מסייעת באיזון לחץ הדם והסדרת קצב הדופק.
היבטים ומחלות בראייה מערבית
השימוש הקליני בנקודה זו נפוץ במצבים של:
אנגינה פקטוריס (תעוקת חזה).
כאבי בטן.
אפילפסיה.
בחילות בוקר בזמן הריון.",,,,0,0,0,0,0,0,Medium,https://drive.google.com/file/d/1SDJVnFveuTTHKWoNmJTfx5S2A-q3FD8F/view?usp=sharing,,https://firebasestorage.googleapis.com/v0/b/apitherapyv2.firebasestorage.app/o/Points%2Fnew%2F1774682929896_PC%206.pdf?alt=media&token=74aee20b-83cf-46d3-8674-4cd058422db1,active
E1WmOflyABzpIXO1jos0,ST45,Lidui,,"Jing-Well point. Calms the mind and clears heat (e.g., toothache, epistaxis).","נקודת באר (Jing-Well). מרגיעה את הנפש ומנקה חום (למשל: כאבי שיניים, דימום מהאף).",,,,,,-0.10304094984250092,0,0.112309183426218,-9.967798006864497,-93.17999999999924,11.299999999999976,,,,,active
ERS3k2QU84J37l0HMctZ,ST42,Chongyang,,Yuan-Source point. Strengthens the Spleen/Stomach and treats local foot pain.,נקודת מקור (Yuan-Source). מחזקת את הטחול/קיבה ומטפלת בכאבי רגליים מקומיים.,,,,,,-0.10304094984250092,0.05342864065907166,5.551115123125783e-17,-9.967798006864497,-88.27999999999952,0.9999999999999983,,,,,active
ElNmXhk3gB26r4nnuG7b,ST23,Taiyi,,Treats abdominal pain and mental restlessness.,מטפלת בכאבי בטן ואי-שקט מנטלי.,,,,,,-0.028895081172764847,1.1630988831861093,0.0621516840319848,-3.167798006864517,13.489090909090663,6.699999999999991,,,,,active
GBIyJA5hxd9WKKEXo9xX,ST15,Wuyi,,Treats chest pain and breast disorders.,מטפלת בכאבי חזה והפרעות בשד.,,,,,,-0.08995638478313575,1.477247395202326,0.015265325902592844,-8.767798006864501,42.29999999999999,2.3999999999999995,,,,,active
GMEtDUeWC15O8Aygo3Ci,KI3,,Taixi,,"כאבי גב, גרון ושיניים, מחזור לא סדיר, אימפוטנציה, נדודי
 שינה, דלקות בדרכי השתן.",,"אופי: נקודת אדמה / נקודת פלג / נקודת מקור.
פעולה:
מחזקת ומזינה את Yin הכליות וכל הגוף, מזינה ולתפסיק שיעול, נוש.
 מזינה את Yin הריאות כדי להרגיע צפצופי נשימה ולתפסיק שיעול.
 מנקה ומפזרת חום ומרגיעה חום מדומה.
 מחזקת את פעילות הרחם ומסדירה את הווסת.
 מחזקת את הגב התחתון (ואת הברכיים).
היבטים מערביים:
כאבי גב, גרון ושיניים, מחזור לא סדיר, אימפוטנציה, נדודי
 שינה, דלקות בדרכי השתן.",,,,0,0,0,0,0,0,Medium,https://drive.google.com/file/d/1SZ27wxNZ-GRdFXAfp33w1gCTKKQWXXEe/view?usp=drive_link,,https://firebasestorage.googleapis.com/v0/b/apitherapyv2.firebasestorage.app/o/Points%2Fnew%2F1774641903013_KID%203.pdf?alt=media&token=02441b26-01c8-4ff8-a028-249dc8595e6b,active
GYPy996diYQQbPOaI2Cw,DU20,Baihui,Baihui,"כאב ראש, סחרחורת, שוק, לחץ דם גבוה, נדודי שינה, עוויתות, צניחת רחם, חולשה של הלב או של כל הגוף.","מעוררת ומתמירה את המוח, את המחשבה ואת החושים.
","אופי:
נקודת מפגש לכל ערוצי ה-Yang, ושל ה-Yang.
פעולה:
מעוררת ומתמירה את המוח, את המחשבה ואת החושים.
מחזקת את ה-Yang ומווסתת את פעילות ה-Yang בלב ובנפש.
נקודת ה-Yang הגבוהה ביותר בגוף.
מרגיעה את הנפש ומייצבת את כוח הרצון.
מטהרת חום ומפסיקה עוויתות.
מסלקת רוח של הכבד מהחלק העליון של הגוף ומשקיטה את הכבד.
מסלקת רוח קרה מהראש ומנקה את הפתחים.
מקררת את האף.
היבטים מערביים:
כאב ראש, סחרחורת, שוק, לחץ דם גבוה, נדודי שינה, עוויתות, צניחת רחם, חולשה של הלב או של כל הגוף.
","אופי: נקודת מפגש לכל ערוצי ה-Yang, ושל ה-Yang.
פעולה: מעוררת ומתמירה את המוח, את המחשבה ואת החושים.
מחזקת את ה-Yang ומווסתת את פעילות ה-Yang בלב ובנפש.
נקודת ה-Yang הגבוהה ביותר בגוף.
מרגיעה את הנפש ומייצבת את כוח הרצון.
מטהרת חום ומפסיקה עוויתות.
מסלקת רוח של הכבד מהחלק העליון של הגוף ומשקיטה את הכבד.
מסלקת רוח קרה מהראש ומנקה את הפתחים.
מקררת את האף.
היבטים מערביים: כאב ראש, סחרחורת, שוק, לחץ דם גבוה, נדודי שינה, עוויתות, צניחת רחם, חולשה של הלב או של כל הגוף.
",,,,5,20,6,0,0,0,Medium,https://drive.google.com/file/d/1mI2Z3pO85xyGplDYsLBWegGsMMDCRmkZ/view?usp=drive_link,https://firebasestorage.googleapis.com/v0/b/apitherapyv2.firebasestorage.app/o/Points%2FGYPy996diYQQbPOaI2Cw%2F1774692486295_GV%2020%20(DU20).pdf?alt=media&token=249f8e43-6796-41e3-87c9-faca3393ec0b,https://firebasestorage.googleapis.com/v0/b/apitherapyv2.firebasestorage.app/o/Points%2FGYPy996diYQQbPOaI2Cw%2F1774692654927_GV%2020%20(DU20).pdf?alt=media&token=d6f743f4-aa6b-481c-a1fc-a74431eb0a78,active
GhFP7hd63X3OnPc24y0r,ST44,Neiting,,Ying-Spring point. Clears Stomach heat and alleviates toothache/facial pain.,נקודת מעיין (Ying-Spring). מנקה חום מהקיבה ומקלה על כאבי שיניים/פנים.,,,,,,-0.09758904773443208,0.014174945480978194,0.07414586866973623,-9.467798006864498,-91.87999999999931,7.799999999999988,,,,,active
HbZNy3Posb1JqnqEOOqQ,ST20,Chengman,,Harmonizes the Middle Jiao and treats abdominal distension.,מהרמנת את המחמם האמצעי ומטפלת בנפיחות בבטן.,,,,,,-0.028895081172764847,1.2629579047073556,0.0621516840319848,-3.167798006864517,22.64727272727248,6.699999999999991,,,,,active
IA1p0v5vjJqARweO65sw,LI14,Binao,,"Expels wind and cold, treats neck and shoulder pain.","מסלקת רוח וקור, מטפלת בכאבי צוואר וכתף.",,,,,,0.27532105645747773,1.3791131572570854,-0.09377271625878399,24.73220199313557,33.29999999999986,-7.599999999999991,,,,,active
J7b0Qm2ITdmTsA1BqjvQ,ST16,Yingchuang,,Treats breast pain and chest congestion.,מטפלת בכאבים בשד וגודש בחזה.,,,,,,-0.10195056942088715,1.4401744608674574,0.034892173491640685,-9.867798006864497,38.89999999999994,4.2,,,,,active
JJzXGYslPCkUcjewhDIS,ST14,Kufang,,Unbinds the chest and treats local pain and cough.,משחררת את החזה ומטפלת בכאב מקומי ושיעול.,,,,,,-0.07796220014538435,1.504506905742671,-0.001090380421613732,-7.667798006864505,44.800000000000026,0.8999999999999986,,,,,active
MX1HEBnJnP6sEuDPKkO8,LU10,Yuji,,Clears heat and treats palm heat and local hand issues.,מנקה חום ומטפלת בחום בכפות הידיים ובעיות ידיים מקומיות.,,,,,,-0.2960382844681397,0.9320571843954379,0.01199418463775151,-27.66779800686464,-7.7000000000003315,2.1000000000000005,,,,,active
N2KpWSrXdC98uJbFnGme,ST25,Tianshu,,"Regulates the large intestine, treats constipation and diarrhea. Front-Mu of Large Intestine.","מווסתת את המעי הגס, מטפלת בעצירות ושלשול. מטפלת בבטן, שלשול, עצירות, בצקת, מחזור לא סדיר, חוסר שקט ",,"אופי:
נקודת Mu קדמית של המעי הגס
נקודת חיבור אל ה־Chong Mo
נקודת התראה של המעי הגס
פעולה:
מווסתת ומסדירה את פעילות המעיים
מטהרת ומנקה חום ולחות מהמעיים
מווסתת זרימת Qi ודם במעיים
מורידה את האנרגיה העולה (Yang Qi) ומגינה (Wei Qi)
מסדירה את המחזור
אינדיקציות:
כאבי בטן
שלשול
עצירות
בצקת
מחזור לא סדיר
חוסר שקט
",,,,-0.028895081172764847,1.0965262021719449,0.06542282529682612,-3.167798006864517,7.383636363636118,6.99999999999999,Medium,https://drive.google.com/file/d/1Qc-gq24gT7zcngv2tJf82XYqJ69y2poI/view?usp=drive_link,,https://firebasestorage.googleapis.com/v0/b/apitherapyv2.firebasestorage.app/o/Points%2FN2KpWSrXdC98uJbFnGme%2F1774706063615_ST%2025.pdf?alt=media&token=ade39cfb-097e-41c1-848f-c7b1e9693bcd,active
NGVRuSkgI33IRDh3l9E4,HT7,Shenmen,Shenmen,,"Spirit Gate - סחרחורת, פלפיטציות, נדודי שינה, פחד, טכיקרדיה, שינויים קיצוניים, עצבנות.
",,"אופי:נקודת אדמה / נקודת פלג / נקודת מקור / נקודת פיזור.
פעולה:
נקודת עיקרית להרגעת הנפש
פותחת את ערוצי התודעה
מסדירה Qi ודם של הלב
מחזקת את הלב
מטהרת חום מהלב ומהמרידיאן
מניעה חסימות של Qi בתוך הלב ולכן מסייעת בכאב
בעלת השפעה כללית מרגיעה על האיברים הפנימיים
אינדיקציות: סחרחורת, פלפיטציות, נדודי שינה, פחד, טכיקרדיה, שינויים קיצוניים, עצבנות.
",,,,0,0,0,0,0,0,High,https://drive.google.com/file/d/131r5NitrU-z8tWAbn254fqe1f3CpCegh/view?usp=sharing,,https://firebasestorage.googleapis.com/v0/b/apitherapyv2.firebasestorage.app/o/Points%2Fnew%2F1774680162094_HT%207.pdf?alt=media&token=ba525197-0837-4574-b87a-31039fb8cb4a,active
NNFQAi66WrvldwpXKCzf,CV2,Qugu,,"Addresses genito-urinary issues, urinary retention, and menstrual irregularities.","מטפל בבעיות במערכת השתן והמין, אצירת שתן ואי-סדירות במחזור החודשי.",,,,,,0.006191158301163957,0.9505936515628756,0.05888054276714359,0.05,-6,6.4,,,,,active
NPKCVFjg4yoLNDTgsETL,GB34,,YangLingQuan,,"פותחת ומנקה את כיס המרה, מעוררת ומאזנת את הכבד",,"אופי:  נקודת אדמה / נקודת ים / נקודת השפעה על הגידים והשרירים.
פעולה:
פותחת ומנקה את כיס המרה
מעוררת ומאזנת את הכבד
מרגיעה ומסדירה Yang Qi של כיס המרה והכבד
מקררת ומפזרת לחות חום
משחררת ומניעה את מרידיאני השרירים, מחזקת גידים, רצועות ושרירים
מחזקת את הטחול ומטפלת בלחות
מסדירה את המעבר והזרימה במרידיאנים
אינדיקציות: לחץ דם גבוה, קושי במתן שתן או חוסר יכולת להחזיק שתן, כאב בצדי הצלעות, שיתוק או כיווץ של גפיים תחתונות, הקאות, צהבת.
",,,,0,0,0,0,0,0,Medium,https://drive.google.com/file/d/1dFyl7B80_xRK3GDuHJWIFUuF6si8IsAm/view?usp=drive_link,,https://firebasestorage.googleapis.com/v0/b/apitherapyv2.firebasestorage.app/o/Points%2Fnew%2F1774711992686_GB%2034.pdf?alt=media&token=90e7236c-f0bf-49e4-a12f-0672b7f94864,active
OHEJtGOrQccP2FTFq1BQ,CV9,Shuifen,,Regulates the Water Passages and treats edema and abdominal distension.,מווסתת את מעברי המים ומטפלת בבצקות ונפיחות בבטן.,,,,,,0.006191158301163957,1.189386963896291,0.0556094015023023,0.05,15.9,6.1,,,,,active
OgzUbq38xPQQIyzm2O4R,CV20,Huagai,,Unbinds the chest and treats cough and local pressure.,משחררת את החזה ומטפלת בשיעול ולחץ מקומי.,,,,,,0.006191158301163957,1.4936031015265325,0.002180760843227589,0.05,43.8,1.2,,,,,active
