id,code,label_en,label_he,description_en,description_he,longText_en,longText_he,x,y,z,sensitivity,imageURL,documentUrl_en,documentUrl_he,status
NGVRuSkgI33IRDh3l9E4,HT7,Shenmen,Shenmen,,"Spirit Gate - סחרחורת, פלפיטציות, נדודי שינה, פחד, טכיקרדיה, שינויים קיצוניים, עצבנות.
",,"אופי:נקודת אדמה / נקודת פלג / נקודת מקור / נקודת פיזור.
פעולה:
נקודת עיקרית להרגעת הנפש
פותחת את ערוצי התודעה
מסדירה Qi ודם של הלב
מחזקת את הלב
מטהרת חום מהלב ומהמרידיאן
מניעה חסימות של Qi בתוך הלב ולכן מסייעת בכאב
בעלת השפעה כללית מרגיעה על האיברים הפנימיים
אינדיקציות: סחרחורת, פלפיטציות, נדודי שינה, פחד, טכיקרדיה, שינויים קיצוניים, עצבנות.
",,,,High,https://drive.google.com/file/d/131r5NitrU-z8tWAbn254fqe1f3CpCegh/view?usp=sharing,,https://firebasestorage.googleapis.com/v0/b/apitherapyv2.firebasestorage.app/o/Points%2Fnew%2F1774680162094_HT%207.pdf?alt=media&token=ba525197-0837-4574-b87a-31039fb8cb4a,active
NNFQAi66WrvldwpXKCzf,CV2,Qugu,,"Addresses genito-urinary issues, urinary retention, and menstrual irregularities.","מטפל בבעיות במערכת השתן והמין, אצירת שתן ואי-סדירות במחזור החודשי.",,,,,,,,,,active
NPKCVFjg4yoLNDTgsETL,GB34,,YangLingQuan,,"פותחת ומנקה את כיס המרה, מעוררת ומאזנת את הכבד",,"אופי:  נקודת אדמה / נקודת ים / נקודת השפעה על הגידים והשרירים.
פעולה:
פותחת ומנקה את כיס המרה
מעוררת ומאזנת את הכבד
מרגיעה ומסדירה Yang Qi של כיס המרה והכבד
מקררת ומפזרת לחות חום
משחררת ומניעה את מרידיאני השרירים, מחזקת גידים, רצועות ושרירים
מחזקת את הטחול ומטפלת בלחות
מסדירה את המעבר והזרימה במרידיאנים
אינדיקציות: לחץ דם גבוה, קושי במתן שתן או חוסר יכולת להחזיק שתן, כאב בצדי הצלעות, שיתוק או כיווץ של גפיים תחתונות, הקאות, צהבת.
",,,,Medium,https://drive.google.com/file/d/1dFyl7B80_xRK3GDuHJWIFUuF6si8IsAm/view?usp=drive_link,,https://firebasestorage.googleapis.com/v0/b/apitherapyv2.firebasestorage.app/o/Points%2Fnew%2F1774711992686_GB%2034.pdf?alt=media&token=90e7236c-f0bf-49e4-a12f-0672b7f94864,active
OHEJtGOrQccP2FTFq1BQ,CV9,Shuifen,,Regulates the Water Passages and treats edema and abdominal distension.,מווסתת את מעברי המים ומטפלת בבצקות ונפיחות בבטן.,,,,,,,,,,active
OgzUbq38xPQQIyzm2O4R,CV20,Huagai,,Unbinds the chest and treats cough and local pressure.,משחררת את החזה ומטפלת בשיעול ולחץ מקומי.,,,,,,,,,,active
PUSGS73UVadrYGxuGlJO,LI11,Quchi,,Mid-way through the scapula. Treats shoulder and upper back tension.,"מניעה ומסדירה את המעיים ואת הקיבה
",,"אופי: נקודת אדמה, נקודת ים, נקודת חיזוק
פעולה:
מקררת, מטהרת ומפזרת חום ורוח חמה, חום מלא וחום ב־Yang Ming
מסדירה ומאזנת דם על מנת לטפל במחלות עור
מניעה ומסדירה את המעיים
מסדירה את הקיבה
מסדירה ומחזקת Qi של הריאות
אינדיקציות: מחלות עור, יתר לחץ דם, כאבי גרון, כאבי בטן, שלשולים, גירודי, חום גבוה",,,,Medium,https://drive.google.com/file/d/1sAPir-Aq_6ngqbLVgKL5BU8aGLF8Zqvf/view?usp=drive_link,,https://firebasestorage.googleapis.com/v0/b/apitherapyv2.firebasestorage.app/o/Points%2FPUSGS73UVadrYGxuGlJO%2F1774707189826_LI%2011.pdf?alt=media&token=b818e41e-262f-4dd5-a16d-75f5b923203d,active
Pvlq21KpgMK00WrUiUut,LI5,Yangxi,,"Jing-River point. Treats neck pain, jaw swelling, and wrist issues.","נקודת נהר (Jing-River). מטפלת בכאבי צוואר, נפיחות בלסת ובעיות בפרק כף היד.",,,,,,,,,,active
QWwxsZM4UXFYbK4OfFrr,ST19,Burong,,"Harmonizes the Stomach and treats reflux, gas, and nausea.","מהרמנת את הקיבה ומטפלת ברפלקס, גזים ובחילה.",,,,,,,,,,active
QfWStbTFum71eG5G6kRu,ST4,Dicang,,Benefits the mouth and treats Bell's palsy or facial paralysis.,מיטיבה עם הפה ומטפלת בשיתוק פנים (Bell's palsy).,,,,,,,,,,active
QgdYRrIUFvrHrR37au5M,ST43,Xiangu,,Shu-Stream point. Treats abdominal pain and swelling of the foot.,נקודת פלג (Shu-Stream). מטפלת בכאבי בטן ונפיחות בכף הרגל.,,,,,,,,,,active
QlA7pY0RVclmElv0uDiI,GV14,Dazhui,Dazhui,Great Hammer - Clearing heat and nervous system. Base of neck.,"פטיש גדול - בבסיס הצוואר, מנקה את מערכת העצבים ומערכת החום של הגוף",,,0,1.55,-0.12,,,https://firebasestorage.googleapis.com/v0/b/apitherapyv2.firebasestorage.app/o/Points%2FGV14%2F1772349839818_English%20point%20document.pdf?alt=media&token=bb5aa468-1f5b-42af-982c-f0b6b5e7f92b,https://firebasestorage.googleapis.com/v0/b/apitherapyv2.firebasestorage.app/o/Points%2FGV14%2F1772349816118_%D7%93%D7%95%D7%92%D7%9E%D7%AA%20%D7%9E%D7%A1%D7%9E%D7%9A%20%D7%A0%D7%A7%D7%95%D7%93%D7%94%20%D7%91%D7%A2%D7%91%D7%A8%D7%99%D7%AA.pdf?alt=media&token=2403944e-54ae-4fa8-9255-843e6f8f25e3,active
SYENO8q5iOFAPvwwNh1w,ST7,Xiaguan,,Best point for trigeminal neuralgia and jaw tension.,הנקודה הטובה ביותר לנוירלגיה טריגמינלית ומתח בלסת.,,,,,,,,,,active
SkB5hCdLTptgFFWxgAix,ST5,Daying,,Eliminates wind and treats jaw pain and facial swelling.,מסלקת רוח ומטפלת בכאבי לסת ונפיחות בפנים.,,,,,,,,,,active
U7YbfJpxhW2hPPkbA1KR,LU3,Tianfu,,"Clears heat, treats heart pain, and addresses summer-heat digestive issues.","מנקה חום, מטפלת בכאבי לב ומטפלת בבעיות עיכול של חום קיץ.",,,,,,,,,,active
UlZMST5fujyE5bZRzX3S,ST26,Wailing,,Treats abdominal pain and hernia issues.,מטפלת בכאבי בטן ובעיות בקע (הרניה).,,,,,,,,,,active
Un4RzTNCW7VoWTTbtVXo,CV13,Shangwan,,"Regulates Heart Qi and treats reflux, nausea, and emotional anxiety.","מווסתת את צ'י הלב ומטפלת ברפלקס, בחילות וחרדה רגשית.",long text,טקסט ארוך מאד טקסט ארוך מאד טקסט ארוך מאד טקסט ארוך מאד טקסט ארוך מאד טקסט ארוך מאד טקסט ארוך מאד טקסט ארוך מאד טקסט ארוך מאד טקסט ארוך מאד טקסט ארוך מאד טקסט ארוך מאד טקסט ארוך מאד טקסט ארוך מאד טקסט ארוך מאד טקסט ארוך מאד טקסט ארוך מאד טקסט ארוך מאד טקסט ארוך מאד טקסט ארוך מאד טקסט ארוך מאד טקסט ארוך מאד טקסט ארוך מאד ,,,,Low,,,,active
Uq3GjBbV9suMvuyudoRx,ST31,Biguan,,Treats local pain in the thigh and hip.,מטפלת בכאב מקומי בירך ובאגן.,,,,,,,,,,active
VK0uqFvGJTSEnJHrrBYP,ST38,Tiaokou,,Indicated for shoulder pain/stiffness and lower leg weakness/atrophy.,מיועדת לכאבי כתף/נוקשות וחולשה/אטרופיה של הרגל התחתונה.,,,,,,,,,,active
